Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dylan Windler,SF,31,513,57,130,0.438,26,77,0.338,31,53,0.585,0.538,21,27,0.778,20,87,107,33,19,12,32,37,161
Justise Winslow,SF,26,507,74,210,0.352,10,54,0.185,64,156,0.41,0.376,20,35,0.571,18,100,118,50,15,12,37,47,178
Robert Woodard II,SF,13,45,8,20,0.4,1,6,0.167,7,14,0.5,0.425,3,8,0.375,4,12,16,2,0,3,1,4,20
Tyler Cook,SF-PF,32,438,69,103,0.67,1,2,0.5,68,101,0.673,0.675,17,35,0.486,28,67,95,17,8,2,21,35,156
Rodions Kurucs,SF-PF,21,125,11,32,0.344,6,21,0.286,5,11,0.455,0.438,3,4,0.75,5,18,23,10,9,4,13,16,31
Otto Porter Jr.,SF-PF,28,606,98,227,0.432,39,104,0.375,59,123,0.48,0.518,36,42,0.857,28,124,152,55,16,4,25,41,271
Evan Fournier,SF-SG,42,1259,247,541,0.457,117,283,0.413,130,258,0.504,0.565,108,137,0.788,10,118,128,144,47,19,73,96,719
Javonte Green,SF-SG,41,473,53,102,0.52,10,30,0.333,43,72,0.597,0.569,30,40,0.75,26,45,71,17,28,6,19,45,146
Svi Mykhailiuk,SF-SG,66,1324,208,506,0.411,105,314,0.334,103,192,0.536,0.515,38,50,0.76,24,139,163,110,51,12,88,63,559
AVERAGE,SF,40.98958333,934.3645833,147.40625,325.5833333,0.441020833,55.89583333,150.4791667,0.333031579,91.51041667,175.1041667,0.527625,0.5201875,58.36458333,73.27083333,0.756333333,30.40625,126.1458333,156.5520833,76.90625,29.96875,14.83333333,44.55208333,70.38541667,409.0729167
