Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Offensive Points,Defensive Points,Offensive and Defensive Points,Positional Adjustment,Points Per Win,PAR
Mike Conley,PG,51,1498,284,640,0.444,138,335,0.412,146,305,0.479,0.552,121,142,0.852,36,141,177,305,70,9,99,98,827,2312.896,341,2653.896,0.433449074,42.74899866,24.34
Kendrick Nunn,PG,56,1650,319,658,0.485,122,320,0.381,197,338,0.583,0.578,56,60,0.933,21,158,179,148,52,14,80,108,816,1862.098,291,2153.098,0.477430556,38.60727273,24.06
LeBron James,PG,45,1504,422,823,0.513,104,285,0.365,318,538,0.591,0.576,178,255,0.698,29,317,346,350,48,25,168,70,1126,2831.341,692,3523.341,0.435185185,56.90425532,24.38
Bruce Brown,PG,65,1451,235,423,0.556,17,59,0.288,218,364,0.599,0.576,86,117,0.735,111,238,349,104,58,28,54,145,573,1411.221,499,1910.221,0.419849537,31.43280496,22.94
Cory Joseph,PG,63,1446,200,426,0.469,45,132,0.341,155,294,0.527,0.522,72,88,0.818,35,124,159,213,61,18,79,139,517,1475.521,206,1681.521,0.418402778,28.74273859,21.91
Elfrid Payton,PG,63,1484,269,622,0.432,28,98,0.286,241,524,0.46,0.455,73,107,0.682,64,152,216,203,47,9,103,116,639,1645.814,286,1931.814,0.429398148,34.00269542,21.83
Tyus Jones,PG,70,1222,178,413,0.431,45,140,0.321,133,273,0.487,0.485,41,45,0.911,21,119,140,259,64,6,48,31,442,1542.666,395,1937.666,0.353587963,29.04255319,21.02
Raul Neto,PG,64,1403,209,447,0.468,64,164,0.39,145,283,0.512,0.539,75,85,0.882,28,128,156,146,73,6,53,109,557,1425.894,291,1716.894,0.405960648,31.58446187,19.50
Lou Williams,PG,66,1423,265,646,0.41,69,173,0.399,196,473,0.414,0.464,150,173,0.867,21,117,138,225,47,6,108,62,749,1874.726,278,2152.726,0.411747685,40.89739986,19.10
Kemba Walker,PG,43,1369,284,676,0.42,127,353,0.36,157,323,0.486,0.514,134,149,0.899,16,154,170,212,48,12,88,61,829,2050.805,358,2408.805,0.396122685,46.59970782,17.91
Alex Caruso,PG,58,1216,133,305,0.436,55,137,0.401,78,168,0.464,0.526,49,76,0.645,31,139,170,160,64,15,76,108,370,1027.19,300,1327.19,0.351851852,24.90789474,16.18
Goran Dragić,PG,50,1337,240,555,0.432,91,244,0.373,149,311,0.479,0.514,101,122,0.828,25,144,169,219,33,8,118,113,672,1676.631,194,1870.631,0.386863426,39.18848168,15.90
