Player,Pos,G,MP,X3P.,eFG.,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,USG.,WS,WS.48,BPM,VORP,TeamTotalPoints,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Anthony Gill,PF,26,218,0.292,0.558,0.813,16,35,51,11,10,4,8,27,80,13.7,0.597,14.2,0.6,0.123,-1.3,0,8398,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Freddie Gillespie,PF,20,392,0,0.524,0.697,42,55,97,9,13,20,12,43,111,13.4,0.563,12.2,0.9,0.116,-3.2,-0.1,8011,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Rudy Gobert,C,71,2187,0,0.675,0.623,240,720,960,89,40,190,118,163,1015,23.5,0.683,17,11.3,0.248,4.9,3.8,8382,200,200,60,3,2,2,-3,4,4,3,5,-3
Brandon Goodwin,PG,47,620,0.311,0.448,0.651,8,61,69,95,17,0,36,41,228,9.2,0.471,19.5,0.2,0.013,-3.1,-0.2,8186,200,300,100,1,4,2,-5,2,3,5,3,-3
Aaron Gordon,PF,50,1384,0.335,0.522,0.651,77,207,284,161,33,34,97,89,618,14.5,0.547,20.7,1.9,0.066,0.1,0.7,7488,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Eric Gordon,SG,27,789,0.329,0.527,0.825,8,50,58,71,14,13,51,44,481,14.4,0.577,25.2,0.8,0.048,-1.1,0.2,7833,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Devonte' Graham,PG,55,1659,0.375,0.51,0.842,22,126,148,295,48,6,84,77,816,14.6,0.552,21.4,3.4,0.099,0.7,1.1,7881,200,300,100,1,4,2,-5,2,3,5,3,-3
Jerami Grant,SF,54,1829,0.35,0.491,0.845,35,215,250,152,35,58,109,125,1205,16.9,0.556,28.5,3.2,0.083,1.1,1.4,7676,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Danny Green,SF,69,1934,0.405,0.573,0.775,55,205,260,118,92,56,67,125,654,12.1,0.582,14,4.6,0.115,1.9,1.9,8182,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Draymond Green,PF,63,1982,0.27,0.492,0.795,55,394,449,558,105,52,188,194,444,13.3,0.53,13.1,4.6,0.112,1.7,1.9,8187,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
JaMychal Green,PF,58,1120,0.399,0.568,0.807,85,192,277,53,26,22,53,144,471,13.6,0.59,17.6,2.6,0.11,-1.5,0.1,8284,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Javonte Green,SF,41,473,0.333,0.569,0.75,26,45,71,17,28,6,19,45,146,12.1,0.61,12.6,1.1,0.107,-0.5,0.2,8109,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Jeff Green,C,68,1835,0.412,0.59,0.776,34,229,263,108,36,27,54,122,750,13,0.624,15.6,4.1,0.107,-0.8,0.6,8537,200,200,60,3,2,2,-3,4,4,3,5,-3
Josh Green,SG,39,445,0.16,0.473,0.565,28,50,78,28,16,3,17,35,101,8.8,0.49,11.9,0.5,0.05,-3.6,-0.2,8096,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Blake Griffin,PF,46,1186,0.341,0.509,0.744,35,190,225,140,32,15,62,111,505,12.9,0.546,19.3,2,0.081,-0.8,0.3,8537,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Kyle Guy,PG,31,235,0.283,0.403,0.8,5,30,35,32,6,0,11,20,87,8.5,0.449,19.7,-0.1,-0.015,-5.8,-0.2,8189,200,300,100,1,4,2,-5,2,3,5,3,-3
Rui Hachimura,PF,57,1797,0.328,0.513,0.77,49,263,312,82,44,7,68,120,789,11.4,0.549,18.1,2.1,0.056,-3.1,-0.5,8398,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Ashton Hagans,PG,2,4,0,0,0,0,0,0,0,0,0,1,0,0,-12.4,0,10.5,0,-0.353,-21.1,0,8073,200,300,100,1,4,2,-5,2,3,5,3,-3
Tyrese Haliburton,PG,58,1746,0.409,0.569,0.857,39,134,173,309,77,28,92,83,753,16.2,0.585,18.1,3.5,0.096,1.4,1.5,8189,200,300,100,1,4,2,-5,2,3,5,3,-3
Donta Hall,PF,13,179,0,0.714,0.676,24,38,62,11,5,10,8,18,73,22.3,0.731,14,0.8,0.223,1.6,0.2,7488,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Josh Hall,SF,21,336,0.108,0.323,0.5,6,53,59,28,4,1,25,37,86,1,0.363,18.1,-0.9,-0.126,-11.9,-0.8,7560,200,250,80,2,3,2,-4,3,3.5,4,4,-3
R.J. Hampton,SG,51,888,0.31,0.478,0.671,29,150,179,87,21,10,53,61,354,11.1,0.507,19.6,0.4,0.021,-3.8,-0.4,7488,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Tim Hardaway Jr.,SG,70,1985,0.391,0.56,0.816,20,209,229,126,31,11,64,111,1163,15.7,0.589,23.4,4.3,0.105,0.4,1.2,8096,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
James Harden,PG,44,1609,0.362,0.548,0.861,35,313,348,475,53,33,177,99,1083,24.5,0.618,28.4,7,0.208,7.2,3.7,8537,200,300,100,1,4,2,-5,2,3,5,3,-3
Maurice Harkless,PF,37,772,0.274,0.488,0.767,13,76,89,44,30,20,22,86,194,8.1,0.527,11.5,0.6,0.038,-3.7,-0.3,8189,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Jared Harper,PG,8,16,0,0,0.75,0,2,2,1,0,0,3,1,3,-10.8,0.26,24.4,-0.1,-0.365,-22.1,-0.1,7706,200,300,100,1,4,2,-5,2,3,5,3,-3
Montrezl Harrell,C,69,1580,0,0.622,0.707,158,270,428,73,46,49,74,128,931,22.7,0.65,21.7,7.3,0.221,3,2,7887,200,200,60,3,2,2,-3,4,4,3,5,-3
Gary Harris,SG,39,1080,0.34,0.47,0.821,21,58,79,78,28,11,37,71,388,9.1,0.511,16.7,0.7,0.033,-4.2,-0.6,7488,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Jalen Harris,SG,13,172,0.472,0.618,0.778,3,15,18,17,8,0,14,15,96,15.2,0.632,22.6,0.3,0.079,0.3,0.1,8011,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
